"station id","lon","lat","year","month","min.temperature","max.temperature","cloud fraction","wind speed","precipitation","wet"
309,22.4583330529881,70.6249966944004,6485,1,-10.7842,-1.4658,0.6983,1.3995,43.2993,20
309,22.4583330529881,70.6249966944004,6485,2,-12.4763,-3.1173,0.7105,2.2621,44.5564,19
309,22.4583330529881,70.6249966944004,6485,3,-9.8858,0.4583,0.6463,0.5837,38.8039,19
309,22.4583330529881,70.6249966944004,6485,4,-7.1028,2.2782,0.7058,1.9417,49.0511,21
309,22.4583330529881,70.6249966944004,6485,5,-1.1752,6.709,0.8246,0.5414,42.3761,17
309,22.4583330529881,70.6249966944004,6485,6,4.1559,12.6794,0.5291,1.1399,22.3978,16
309,22.4583330529881,70.6249966944004,6485,7,7.7794,17.0794,0.6117,2.5093,54.8424,18
309,22.4583330529881,70.6249966944004,6485,8,6.5828,14.7774,0.8266,0.2929,50.3584,21
309,22.4583330529881,70.6249966944004,6485,9,2.6011,9.4019,0.9021,0.0247,67.5283,23
309,22.4583330529881,70.6249966944004,6485,10,-2.3322,3.0079,0.7338,1.2089,72.928,21
309,22.4583330529881,70.6249966944004,6485,11,-7.0861,0.1653,0.9165,0.7365,123.9804,20
309,22.4583330529881,70.6249966944004,6485,12,-8.3984,0.504,0.7283,0.4223,68.1836,20
309,22.4583330529881,70.6249966944004,6486,1,-10.7828,-1.4643,0.7218,2.5641,64.5663,20
309,22.4583330529881,70.6249966944004,6486,2,-12.4746,-3.1156,0.7693,0.158,58.8304,19
309,22.4583330529881,70.6249966944004,6486,3,-9.8847,0.4597,0.5805,3.2305,36.9425,19
309,22.4583330529881,70.6249966944004,6486,4,-7.1021,2.2788,0.6801,0.1808,28.6361,21
309,22.4583330529881,70.6249966944004,6486,5,-1.1746,6.7097,0.7739,2.3563,38.6159,17
309,22.4583330529881,70.6249966944004,6486,6,4.1566,12.6803,0.734,0.3332,28.9484,16
309,22.4583330529881,70.6249966944004,6486,7,7.7793,17.0796,0.6087,0.2579,31.2813,18
309,22.4583330529881,70.6249966944004,6486,8,6.5825,14.7772,0.7703,0.7376,74.949,21
309,22.4583330529881,70.6249966944004,6486,9,2.6015,9.4022,0.7276,0.1188,105.7811,23
309,22.4583330529881,70.6249966944004,6486,10,-2.3319,3.008,0.811,1.7889,94.3208,21
309,22.4583330529881,70.6249966944004,6486,11,-7.085,0.1661,0.807,1.2668,68.0713,20
309,22.4583330529881,70.6249966944004,6486,12,-8.3976,0.5046,0.6583,0.4353,47.2338,20
309,22.4583330529881,70.6249966944004,6487,1,-10.7815,-1.4629,0.7442,0.2625,52.7863,20
309,22.4583330529881,70.6249966944004,6487,2,-12.4728,-3.1138,0.625,1.0172,53.0668,19
309,22.4583330529881,70.6249966944004,6487,3,-9.8836,0.4611,0.8106,3.4418,81.7347,19
309,22.4583330529881,70.6249966944004,6487,4,-7.1015,2.2794,0.8197,1.2439,69.3679,21
309,22.4583330529881,70.6249966944004,6487,5,-1.174,6.7104,0.6571,1.2263,29.3939,17
309,22.4583330529881,70.6249966944004,6487,6,4.1572,12.6811,0.7274,2.4909,40.822,16
309,22.4583330529881,70.6249966944004,6487,7,7.7793,17.0798,0.6289,0.333,42.4748,18
309,22.4583330529881,70.6249966944004,6487,8,6.5823,14.7769,0.7874,1.7401,50.5182,21
309,22.4583330529881,70.6249966944004,6487,9,2.6018,9.4025,0.8105,0.6177,97.2571,23
309,22.4583330529881,70.6249966944004,6487,10,-2.3317,3.0082,0.7989,0.2477,62.4293,21
309,22.4583330529881,70.6249966944004,6487,11,-7.0839,0.1669,0.6895,3.4824,57.7001,20
309,22.4583330529881,70.6249966944004,6487,12,-8.3968,0.5053,0.5759,2.3657,60.2347,20
309,22.4583330529881,70.6249966944004,6488,1,-10.7802,-1.4614,0.724,2.0243,106.9606,20
309,22.4583330529881,70.6249966944004,6488,2,-12.471,-3.1121,0.6104,0.0299,57.6995,19
309,22.4583330529881,70.6249966944004,6488,3,-9.8825,0.4625,0.6615,0.7802,48.8036,19
309,22.4583330529881,70.6249966944004,6488,4,-7.1008,2.28,0.7989,1.9004,50.1784,21
309,22.4583330529881,70.6249966944004,6488,5,-1.1734,6.7111,0.7058,1.4385,48.5404,17
309,22.4583330529881,70.6249966944004,6488,6,4.1579,12.682,0.5618,5.0053,22.1066,16
309,22.4583330529881,70.6249966944004,6488,7,7.7793,17.08,0.6429,0.1925,92.8887,18
309,22.4583330529881,70.6249966944004,6488,8,6.582,14.7766,0.7374,0.3638,46.3123,21
309,22.4583330529881,70.6249966944004,6488,9,2.6021,9.4028,0.8351,0.4014,55.2867,23
309,22.4583330529881,70.6249966944004,6488,10,-2.3314,3.0084,0.8691,3.2383,110.3185,21
309,22.4583330529881,70.6249966944004,6488,11,-7.0828,0.1677,0.8062,3.051,69.3982,20
309,22.4583330529881,70.6249966944004,6488,12,-8.396,0.5059,0.7787,2.2931,52.1017,20
309,22.4583330529881,70.6249966944004,6489,1,-10.7788,-1.4599,0.7183,0.8281,46.5975,20
309,22.4583330529881,70.6249966944004,6489,2,-12.4693,-3.1104,0.679,0.9127,51.5717,19
309,22.4583330529881,70.6249966944004,6489,3,-9.8814,0.4638,0.6839,4.3625,39.0569,19
309,22.4583330529881,70.6249966944004,6489,4,-7.1001,2.2806,0.711,0.4089,55.5258,21
309,22.4583330529881,70.6249966944004,6489,5,-1.1728,6.7117,0.7162,0.0501,29.0166,17
309,22.4583330529881,70.6249966944004,6489,6,4.1586,12.6829,0.5336,2.5119,49.4255,16
309,22.4583330529881,70.6249966944004,6489,7,7.7792,17.0802,0.8516,0.6856,81.2651,18
309,22.4583330529881,70.6249966944004,6489,8,6.5817,14.7763,0.7913,1.3975,46.9152,21
309,22.4583330529881,70.6249966944004,6489,9,2.6025,9.403,0.8083,0.4655,56.1427,23
309,22.4583330529881,70.6249966944004,6489,10,-2.3311,3.0085,0.6888,0.3235,78.7265,21
309,22.4583330529881,70.6249966944004,6489,11,-7.0817,0.1685,0.6314,0.5616,34.1611,20
309,22.4583330529881,70.6249966944004,6489,12,-8.3952,0.5065,0.7232,0.5396,50.3384,20
309,22.4583330529881,70.6249966944004,6490,1,-10.7775,-1.4584,0.8179,1.4216,127.7902,20
309,22.4583330529881,70.6249966944004,6490,2,-12.4675,-3.1086,0.4729,2.6268,38.3243,19
309,22.4583330529881,70.6249966944004,6490,3,-9.8803,0.4652,0.5062,0.3851,14.2226,19
309,22.4583330529881,70.6249966944004,6490,4,-7.0995,2.2811,0.8019,0.7365,56.5998,21
309,22.4583330529881,70.6249966944004,6490,5,-1.1722,6.7124,0.7883,2.3228,58.233,17
309,22.4583330529881,70.6249966944004,6490,6,4.1593,12.6837,0.6791,0.2639,31.1886,16
309,22.4583330529881,70.6249966944004,6490,7,7.7792,17.0804,0.7467,0.4212,72.7321,18
309,22.4583330529881,70.6249966944004,6490,8,6.5814,14.776,0.6645,0.6496,63.8898,21
309,22.4583330529881,70.6249966944004,6490,9,2.6028,9.4033,0.8389,2.8585,71.7494,23
309,22.4583330529881,70.6249966944004,6490,10,-2.3308,3.0087,0.8444,1.6801,93.5285,21
309,22.4583330529881,70.6249966944004,6490,11,-7.0806,0.1693,0.84,0.445,74.342,20
309,22.4583330529881,70.6249966944004,6490,12,-8.3944,0.5071,0.6487,1.6589,47.8894,20
